time_s,mass_g,relative_fraction
3.02279498e+03,5.08366881e+09,5.08366881e-01
3.04026778e+03,5.01806575e+09,5.01806575e-01
3.05774059e+03,4.95070101e+09,4.95070101e-01
3.07521339e+03,4.88145135e+09,4.88145135e-01
3.09268619e+03,4.81017908e+09,4.81017908e-01
3.11015900e+03,4.73672973e+09,4.73672973e-01
3.12763180e+03,4.66092901e+09,4.66092901e-01
3.14510460e+03,4.58257919e+09,4.58257919e-01
3.16257741e+03,4.50145449e+09,4.50145449e-01
3.18005021e+03,4.41729537e+09,4.41729537e-01
3.19752301e+03,4.32980107e+09,4.32980107e-01
3.21499582e+03,4.23862012e+09,4.23862012e-01
3.23246862e+03,4.14333778e+09,4.14333778e-01
3.24994142e+03,4.04345917e+09,4.04345917e-01
3.26741423e+03,3.93838636e+09,3.93838636e-01
3.28488703e+03,3.82738631e+09,3.82738631e-01
3.30235983e+03,3.70954500e+09,3.70954500e-01
3.31983264e+03,3.58369957e+09,3.58369957e-01
3.33730544e+03,3.44833453e+09,3.44833453e-01
3.35477824e+03,3.30141548e+09,3.30141548e-01
3.37225105e+03,3.14010815e+09,3.14010815e-01
3.38972385e+03,2.96026958e+09,2.96026958e-01
3.40719665e+03,2.75543837e+09,2.75543837e-01
3.42466946e+03,2.51455940e+09,2.51455940e-01
3.44214226e+03,2.21577240e+09,2.21577240e-01
3.45961506e+03,1.80264432e+09,1.80264432e-01
3.47708787e+03,9.42346666e+08,9.42346666e-02
3.49456067e+03,1.00000000e+05,1.00000000e-05
3.51203347e+03,1.00000000e+05,1.00000000e-05
3.52950628e+03,1.00000000e+05,1.00000000e-05
3.54697908e+03,1.00000000e+05,1.00000000e-05
3.56445188e+03,1.00000000e+05,1.00000000e-05
3.58192469e+03,1.00000000e+05,1.00000000e-05
3.59939749e+03,1.00000000e+05,1.00000000e-05
3.61687029e+03,1.00000000e+05,1.00000000e-05
3.63434310e+03,1.00000000e+05,1.00000000e-05
3.65181590e+03,1.00000000e+05,1.00000000e-05
3.66928870e+03,1.00000000e+05,1.00000000e-05
3.68676151e+03,1.00000000e+05,1.00000000e-05
3.70423431e+03,1.00000000e+05,1.00000000e-05
3.72170711e+03,1.00000000e+05,1.00000000e-05
3.73917992e+03,1.00000000e+05,1.00000000e-05
3.75665272e+03,1.00000000e+05,1.00000000e-05
3.77412552e+03,1.00000000e+05,1.00000000e-05
3.79159833e+03,1.00000000e+05,1.00000000e-05
3.80907113e+03,1.00000000e+05,1.00000000e-05
3.82654393e+03,1.00000000e+05,1.00000000e-05
3.84401674e+03,1.00000000e+05,1.00000000e-05
3.86148954e+03,1.00000000e+05,1.00000000e-05
3.87896234e+03,1.00000000e+05,1.00000000e-05
3.89643515e+03,1.00000000e+05,1.00000000e-05
3.91390795e+03,1.00000000e+05,1.00000000e-05
3.93138075e+03,1.00000000e+05,1.00000000e-05
3.94885356e+03,1.00000000e+05,1.00000000e-05
3.96632636e+03,1.00000000e+05,1.00000000e-05
3.98379916e+03,1.00000000e+05,1.00000000e-05
4.00127197e+03,1.00000000e+05,1.00000000e-05
4.01874477e+03,1.00000000e+05,1.00000000e-05
4.03621757e+03,1.00000000e+05,1.00000000e-05
4.05369038e+03,1.00000000e+05,1.00000000e-05
4.07116318e+03,1.00000000e+05,1.00000000e-05
4.08863598e+03,1.00000000e+05,1.00000000e-05
4.10610879e+03,1.00000000e+05,1.00000000e-05
4.12358159e+03,1.00000000e+05,1.00000000e-05
4.14105439e+03,1.00000000e+05,1.00000000e-05
4.15852720e+03,1.00000000e+05,1.00000000e-05
4.17600000e+03,1.00000000e+05,1.00000000e-05
